repo	unit	file	line	group	verdict	platform	why	snippet
paseo-plugins	agent-health	agent-health/client/zw-pill.ts	77	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	const res = await client.paseo.agents.list();
paseo-plugins	agent-health	agent-health/client/zw-pill.ts	96	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	const unsub = client.paseo.agents.subscribe(() => void sync());
paseo-plugins	agent-health	agent-health/server/health-state.ts	19	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	const file = path.join(os.homedir(), ".pi", "agent", "zombie-watchdog.jsonl");
paseo-plugins	agent-health	agent-health/server/health-state.ts	52	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	const jsonl = path.join(os.homedir(), ".pi", "agent", "sse-probe.jsonl");
paseo-plugins	agent-health	agent-health/server/health-state.ts	53	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	const summaryFile = path.join(os.homedir(), ".pi", "agent", "sse-probe.json");
paseo-plugins	agent-health	agent-health/server/health-state.ts	99	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	const chanDir = path.join(os.homedir(), ".pi", "agent", "subagent-channel");
paseo-plugins	agent-health	agent-health/server/health-state.ts	157	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	const result = await context.paseo.agents.list();
paseo-plugins	agent-health	agent-health/client/panel.tsx	11	hardcoded-home	note		cosmetic display shortening only	return cwd.replace("/home/coder/workspaces/", "~/").replace("/home/coder", "~");
paseo-plugins	agent-health	agent-health/server/health-state.ts	19	homedir-api	portable		os.homedir()-anchored — adapts to any user	const file = path.join(os.homedir(), ".pi", "agent", "zombie-watchdog.jsonl");
paseo-plugins	agent-health	agent-health/server/health-state.ts	52	homedir-api	portable		os.homedir()-anchored — adapts to any user	const jsonl = path.join(os.homedir(), ".pi", "agent", "sse-probe.jsonl");
paseo-plugins	agent-health	agent-health/server/health-state.ts	53	homedir-api	portable		os.homedir()-anchored — adapts to any user	const summaryFile = path.join(os.homedir(), ".pi", "agent", "sse-probe.json");
paseo-plugins	agent-health	agent-health/server/health-state.ts	99	homedir-api	portable		os.homedir()-anchored — adapts to any user	const chanDir = path.join(os.homedir(), ".pi", "agent", "subagent-channel");
paseo-plugins	agent-health	agent-health/client/panel.tsx	11	tilde-literal	note		tilde in display/log/test string only, never passed to fs	return cwd.replace("/home/coder/workspaces/", "~/").replace("/home/coder", "~");
paseo-plugins	lessons	lessons/server/lessons-state.ts	8	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	* Read-only view of ~/.pi/agent/lessons.md — the single source the engine
